"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"2040384","CNK",1,NA,"Pamidronaatdinatrium Hospira 6 mg/ml inf. opl. (conc.) i.v. flac.",NA,"M05BA03",NA,"ATC(Non-Standard)",NA
"2040889","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2041168","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2041291","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2044709","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2045680","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2045813","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2047256","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2048403","CNK",1,NA,"Chirocaine 1,25 mg/ml inf. opl. epidur.",NA,"N01BB10",NA,"ATC(Non-Standard)",NA
"2051167","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2051324","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2051530","CNK",1,NA,"Captopril Kela 50 mg tabl.",NA,"C09AA01",NA,"ATC(Non-Standard)",NA
"2055002","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2055291","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2055762","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2057982","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2058949","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2059053","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2059954","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2060325","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2060671","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2061133","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2061315","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2064020","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2064772","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2064780","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2064921","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2065464","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2068153","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2070837","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2070852","CNK",1,NA,"Omeprazol Mylan 10 mg harde maagsapresist. caps._Omeprazol Viatris 10 mg harde maagsapresist. caps.",NA,"A02BC01",NA,"ATC(Non-Standard)",NA
"2071157","CNK",1,NA,NA,NA,NA,NA,NA,NA
"20720A.B","MEDIDOC",1,NA,"Galactose-1-fosfaat uridyl transferase",NA,NA,NA,NA,NA
"2072353","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2072403","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2073468","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2074094","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2074409","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2074946","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2075570","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2075943","CNK",1,NA,"Kali-Sterop 1,5 g/10 ml inf. opl. (conc.) i.v. amp.",NA,"B05XA01",NA,"ATC(Non-Standard)",NA
"2076750","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2076818","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2077725","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2078574","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2078756","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2078764","CNK",1,NA,NA,NA,NA,NA,NA,NA
